provider_name,scraping_month,prix_moyen_kwh_base
Ekwateur,2025-06-01,0.19065
Ekwateur,2025-05-01,0.17934999999999998
Ekwateur,2025-04-01,0.18405
Ekwateur,2025-03-01,0.19169999999999995
Ekwateur,2025-02-01,0.21654999999999996
Ekwateur,2025-01-01,0.19655000000000003
Ekwateur,2024-12-01,0.21466874999999996
Ekwateur,2024-11-01,0.19945000000000002
Ekwateur,2024-10-01,0.1945
Ekwateur,2024-09-01,0.18659999999999996
Ekwateur,2024-08-01,0.19020000000000006
Ekwateur,2024-07-01,0.1944
Enercoop,2026-06-01,0.2531
Enercoop,2026-05-01,0.2531
Enercoop,2026-04-01,0.2531
Enercoop,2026-03-01,0.2531
Enercoop,2026-02-01,0.2531
Enercoop,2026-01-01,0.2527
Enercoop,2025-12-01,0.2527
Enercoop,2025-11-01,0.2527
Enercoop,2025-10-01,0.2527
Enercoop,2025-09-01,0.2527
Enercoop,2025-08-01,0.2527
Enercoop,2025-07-01,0.2527
Enercoop,2025-06-01,0.2527
Enercoop,2025-05-01,0.2527
Enercoop,2025-04-01,0.2527
Enercoop,2025-03-01,0.2527
Enercoop,2025-02-01,0.24821851851851851
Enercoop,2025-01-01,0.2223
Enercoop,2024-12-01,0.2223
Enercoop,2024-11-01,0.2223
Enercoop,2024-10-01,0.2223
Enercoop,2024-09-01,0.2223
Enercoop,2024-08-01,0.2223
Enercoop,2024-07-01,0.2223
Energie d'ici,2026-06-01,0.224
Energie d'ici,2026-05-01,0.224
Energie d'ici,2026-04-01,0.224
Energie d'ici,2026-03-01,0.22400000000000003
Energie d'ici,2026-02-01,0.22396551724137934
Energie d'ici,2026-01-01,0.223
Energie d'ici,2025-12-01,0.22300000000000003
Energie d'ici,2025-11-01,0.22299999999999998
Energie d'ici,2025-10-01,0.22300000000000003
Energie d'ici,2025-09-01,0.22300000000000003
Energie d'ici,2025-08-01,0.22321041666666666
Energie d'ici,2025-07-01,0.22804999999999995
Energie d'ici,2025-06-01,0.22698448275862068
Energie d'ici,2025-05-01,0.2126
Energie d'ici,2025-04-01,0.2126
Energie d'ici,2025-03-01,0.21949032258064519
Energie d'ici,2025-02-01,0.23873333333333341
Energie d'ici,2025-01-01,0.224
Energie d'ici,2024-12-01,0.2332
Energie d'ici,2024-11-01,0.2332
Energie d'ici,2024-10-01,0.1992
Energie d'ici,2024-09-01,0.1972
Energie d'ici,2024-08-01,0.1972
Energie d'ici,2024-07-01,0.1972
Eni,2024-10-01,0.1973
Eni,2024-09-01,0.1973
Eni,2024-08-01,0.1973
Eni,2024-07-01,0.2024
GAZ DE BORDEAUX,2026-06-01,0.17648823529411764
GAZ DE BORDEAUX,2026-05-01,0.17463333333333333
GAZ DE BORDEAUX,2026-04-01,0.17612898550724637
GAZ DE BORDEAUX,2026-03-01,0.17750000000000002
